user_id,consent,age,location,education,race,gender,inserted_at
worker_c605aa2e,1,66.0,California,Associate,White,Female,2025-09-09 17:47:37
worker_d15fbe96,1,30.0,california,Bachelor,White,Male,2025-12-13 19:43:38
worker_191ee47f,1,43.0,Kentucky,Bachelor,White,Male,2025-04-23 17:36:22
worker_e4cf7d13,1,,,,,,2025-12-02 14:14:11
worker_87c89391,1,35.0,california,Master,Asian,Male,2025-12-02 14:59:22
worker_778309b5,1,35.0,india,Master,Asian,Female,2025-09-09 09:48:27
worker_da7a00ef,1,59.0,Minnesota,Associate,White,Female,2025-11-30 10:42:57
worker_5d9c9da4,1,40.0,Ohio,Bachelor,White,Male,2025-04-23 17:56:33
worker_d26a7bfa,1,44.0,LOS ANGELES,Bachelor,Asian,Male,2025-09-09 10:05:55
worker_ac1124c0,1,29.0,chennai,Bachelor,Asian,Male,2025-09-09 11:07:30
worker_fa234af6,1,30.0,usa,Bachelor,White,Male,2025-12-02 15:33:42
worker_675cfc96,1,26.0,USA,Bachelor,White,Male,2025-12-13 20:55:31
worker_4c26587c,1,26.0,MA,Bachelor,White,Female,2026-01-16 23:31:23
worker_7a16a898,1,34.0,INDIA,Master,Asian,Female,2025-04-23 08:01:42
worker_a354c3c9,1,,,,,,2025-11-17 14:37:16
worker_b882f3fe,1,41.0,tamilnadu,Bachelor,Asian,Female,2025-09-15 00:13:53
worker_2d07ea65,0,,,,,,2025-11-28 11:50:56
worker_31d0d4c3,0,,,,,,2026-01-16 19:11:21
worker_b5b2842b,1,35.0,chennai,Master,Asian,Male,2025-09-09 23:17:12
worker_b7c39547,1,26.0,North Carolina,Bachelor,White,Male,2025-12-13 22:33:50
worker_880a9197,1,39.0,Italy,Bachelor,White,Male,2025-04-23 12:30:57
worker_4bf8662d,1,26.0,USA,Bachelor,White,Female,2025-12-13 21:57:26
worker_b59aa3b5,1,32.0,MI,Bachelor,Hispanic or Latino,Male,2025-12-02 14:12:05
worker_722be7cc,1,23.0,il,Bachelor,White,Male,2025-10-15 17:13:44
worker_44e06342,0,,,,,,2025-11-26 13:16:30
worker_efe70ff2,1,27.0,Florida,Bachelor,White,Female,2025-12-03 03:50:05
worker_927e4f4d,1,44.0,Mumbai,Master,Asian,Male,2025-04-23 08:05:26
worker_3d0749be,1,46.0,WV,High School Graduate,White,Female,2025-04-23 17:27:52
worker_d0fe9f61,1,38.0,nyc,Bachelor,Asian,Female,2025-04-23 17:29:52
worker_98666539,0,,,,,,2025-12-13 19:18:01
worker_53fc6d65,1,60.0,COIMBATORE,Bachelor,Asian,Male,2025-09-09 09:36:39
worker_d0003d22,1,36.0,india,Bachelor,American Indian or Alaska Native,Female,2025-10-17 10:06:15
worker_2ff5c2ff,1,38.0,Virginia,Bachelor,White,Male,2025-10-15 09:24:21
worker_d20db140,1,25.0,CA,Bachelor,White,Female,2025-12-13 22:36:39
worker_b36c95c3,0,,,,,,2025-10-22 01:09:50
worker_7ce8738a,1,28.0,Canada,Master,White,Female,2025-12-13 20:50:26
worker_9b10e7ff,1,26.0,CA,Bachelor,White,Female,2026-01-16 19:15:59
worker_be09cd95,1,59.0,Yadkinville,Bachelor,White,Female,2026-01-16 23:35:33
worker_007e87ad,1,52.0,Virginia,Associate,White,Female,2026-01-16 18:57:56
worker_86c07436,1,31.0,India,Bachelor,Asian,Female,2025-09-09 11:41:57
worker_6ac86fbd,0,,,,,,2025-10-15 09:20:02
worker_2d369604,0,,,,,,2025-09-09 09:42:25
worker_935bd76f,0,,,,,,2025-10-18 02:47:30
worker_8244f2be,1,46.0,Georgia,High School Graduate,White,Male,2025-11-17 12:40:48
worker_513b7254,1,35.0,North Carolina,Bachelor,White,Male,2025-10-15 09:22:03
worker_12dfd43c,1,25.0,Connie cut,Bachelor,White,Female,2025-12-02 21:20:44
worker_3e37fa4f,1,53.0,india,Bachelor,Asian,Male,2025-12-01 05:05:06
worker_b4ec073f,1,32.0,USA,Bachelor,White,Male,2026-01-16 18:43:03
worker_f6537932,1,39.0,"Kanpur, Uttar Pradesh",Master,Asian,Male,2025-09-14 17:18:57
worker_7a272c7c,1,50.0,india,Master,White,Female,2025-09-14 17:19:21
worker_dd6abc1c,1,36.0,USA,Bachelor,White,Male,2025-12-14 00:40:16
worker_4d0f20ea,0,,,,,,2025-11-30 17:12:30
worker_372230c5,1,24.0,Florida,Bachelor,White,Female,2025-12-02 22:18:43
worker_891c885b,1,26.0,Florida,Bachelor,White,Female,2025-12-13 23:31:22
worker_48fdf5e3,1,48.0,"USA, Ohio, Canton",Bachelor,White,Male,2025-04-23 17:56:32
worker_507fc0c2,1,24.0,ARIZONA,Bachelor,Asian,Male,2025-12-14 02:23:49
worker_94df5918,0,,,,,,2025-10-17 12:03:37
worker_027fbdab,1,55.0,Arizona,Bachelor,White,Male,2025-11-18 01:06:25
worker_4fac6523,0,,,,,,2025-09-14 20:20:03
worker_f20e0747,1,26.0,new york,Bachelor,White,Male,2026-01-16 23:27:19
worker_b82ca2fd,0,,,,,,2025-09-09 09:33:57
worker_708bedfc,1,30.0,INDIA,Bachelor,Asian,Female,2025-04-23 09:53:00
worker_e035595b,1,,,,,,2025-12-13 19:37:18
worker_3e87587f,0,,,,,,2025-09-09 19:06:20
worker_10f5acf5,0,,,,,,2025-11-26 20:49:54
worker_e85fcb6c,1,32.0,USA,Bachelor,White,Female,2026-01-16 20:36:42
worker_2a39a026,1,44.0,-,Master,Asian,Male,2025-09-09 10:07:30
worker_42c4348f,1,34.0,New York,Bachelor,White,Male,2025-12-13 22:42:56
worker_c07eb25b,1,29.0,"Rio de Janiero, Brazil",Bachelor,Hispanic or Latino,Female,2025-12-02 16:00:38
worker_f972316e,1,24.0,OREGON,Bachelor,White,Female,2025-12-13 20:34:24
worker_75fa47a6,1,34.0,California,High School Graduate,White,Male,2025-09-09 09:37:54
worker_b83b2deb,1,34.0,Georgia,Master,American Indian or Alaska Native,Female,2026-01-16 22:07:57
worker_1107affc,1,48.0,USA,Master,White,Female,2025-12-02 14:42:02
worker_537d916a,0,,,,,,2025-09-09 09:47:33
worker_336af03d,1,39.0,California,Bachelor,White,Male,2025-04-23 21:07:08
worker_7d079f07,1,49.0,Mississippi,Bachelor,White,Female,2025-10-19 10:55:26
worker_dc32691e,1,45.0,kolkata,Bachelor,Asian,Male,2025-04-23 08:11:01
worker_1631645f,1,50.0,USA,Master,White,Female,2026-01-16 20:27:31
worker_ebc9b1db,1,32.0,USA ,Bachelor,White,Male,2025-12-13 16:38:47
worker_eae3709a,1,25.0,Unit State of America,Bachelor,Asian,Male,2026-01-17 12:42:44
worker_ec1a1605,1,25.0,Bainbridge,High School Graduate,White,Male,2026-01-17 10:44:05
worker_5f6ca345,1,25.0,GA,Bachelor,White,Male,2025-12-02 14:07:36
worker_265537be,1,34.0,Tamil Nadu,Bachelor,Asian,Male,2026-01-16 23:00:24
worker_cdf4521e,1,34.0,India,Bachelor,Asian,Male,2025-09-09 09:57:08
worker_ea67330f,1,28.0,Los Angeles,Master,White,Male,2025-12-02 17:19:10
worker_aa5624b8,0,,,,,,2025-10-20 08:51:43
worker_29e7a1a6,1,29.0,indiana,Bachelor,White,Male,2025-12-02 16:18:39
worker_e7b2a911,1,27.0,Louisiana,Bachelor,White,Female,2025-12-03 01:24:06
worker_c43b8e70,1,34.0,Massachusetts,Bachelor,White,Female,2025-12-02 14:12:08
worker_7406f795,1,26.0,new york,Bachelor,White,Male,2026-01-16 21:41:49
worker_f9759407,1,54.0,Colorado,Bachelor,White,Female,2025-04-23 21:33:43
worker_6d2a9517,0,,,,,,2026-01-16 22:43:21
worker_01e1127e,1,29.0,USA,Master,White,Female,2025-12-14 03:15:51
worker_5466865d,1,25.0,"Clearwater, Florida",Master,Hispanic or Latino,Male,2025-12-13 20:33:18
worker_9a625df1,1,35.0,California,Master,White,Male,2026-01-16 23:22:21
worker_699beb1f,1,45.0,TAMILNADU,Bachelor,Asian,Male,2025-09-09 10:00:54
worker_9b8dc026,1,30.0,USA,Bachelor,White,Male,2025-12-13 16:32:55
worker_b3627ace,0,,,,,,2025-12-01 16:41:47
worker_847d6b41,1,25.0,USA,Bachelor,Asian,Male,2025-12-02 14:18:04
worker_6680f3d4,1,36.0,New York,Bachelor,White,Male,2025-04-23 17:29:10
worker_6129fc84,1,35.0,San Francisco,Bachelor,Asian,Female,2025-04-23 20:30:33
worker_9d053692,1,40.0,India,Bachelor,Asian,Male,2025-04-23 08:04:00
worker_0915bce6,1,35.0,india,Master,Asian,Male,2025-09-09 09:58:51
worker_d89aebb5,0,,,,,,2025-11-14 12:04:40
worker_721774ae,1,40.0,California,Master,American Indian or Alaska Native,Male,2025-04-23 20:03:11
worker_52bcfed0,1,52.0,IL,Bachelor,White,Male,2025-12-02 16:38:46
worker_4859e3f0,1,35.0,Los Angeles,Bachelor,White,Male,2026-01-16 20:55:09
worker_f2a8f61b,1,26.0,Missouri,Bachelor,White,Male,2026-01-16 22:42:56
worker_982ee6b9,1,32.0,Massachusetts,Bachelor,American Indian or Alaska Native,Female,2025-04-23 17:32:35
worker_0ddfe023,1,36.0,Oklahoma,Bachelor,White,Male,2025-12-02 14:27:11
worker_092a8a7c,1,25.0,usa,Bachelor,Asian,Male,2025-12-02 14:03:11
worker_eea011eb,1,26.0,OR,Bachelor,White,Female,2026-01-16 22:38:55
worker_327b4905,1,25.0,GA,Master,American Indian or Alaska Native,Female,2025-12-02 14:21:50
worker_dc5a5b06,1,26.0,USA,Bachelor,White,Female,2025-12-13 21:25:13
worker_f1e248f2,1,57.0,AZ,Bachelor,White,Female,2025-04-23 22:00:23
worker_8ab1e0e8,1,42.0,CA,Master,White,Male,2026-01-20 06:06:59
worker_ca249335,1,30.0,tamilnadu,Bachelor,Asian,Female,2025-09-09 10:09:37
worker_ad781ae9,1,35.0,India,Bachelor,Asian,Male,2025-11-26 19:58:58
worker_6f6aa746,1,42.0,California,Bachelor,White,Male,2026-01-16 21:27:48
worker_c70b9550,0,,,,,,2025-12-13 21:56:40
worker_c7b440a6,0,,,,,,2025-11-26 18:06:31
worker_2b3bd5e6,1,26.0,Indiana,Bachelor,Asian,Male,2025-11-17 21:27:21
worker_aacbe6dc,1,29.0,India,Bachelor,Asian,Male,2026-01-17 16:06:54
worker_f1908c6e,1,30.0,TX,Master,Asian,Male,2025-12-02 19:16:10
worker_d9a692ba,0,,,,,,2025-11-26 12:24:33
worker_0ff5001d,1,26.0,CA,Bachelor,White,Female,2026-01-16 22:06:03
worker_7bdc4bbb,1,41.0,India,Bachelor,Asian,Male,2025-11-17 19:25:54
worker_23415b2d,1,26.0,USA,Bachelor,White,Male,2025-12-02 15:24:10
worker_a2b63b0c,1,26.0,USA,Bachelor,White,Female,2025-12-13 20:35:05
worker_129661d9,1,38.0,India,High School Graduate,Asian,Male,2025-09-09 09:37:41
worker_9562f577,1,35.0,texas,Master,White,Male,2026-01-17 15:47:23
worker_cfe38544,1,30.0,Pennsylvania,Bachelor,White,Male,2025-12-02 16:13:31
worker_ae82bc13,1,44.0,PA,Bachelor,White,Male,2025-12-02 20:29:11
worker_46ff9373,1,52.0,FL,High School Graduate,White,Female,2025-11-29 12:00:54
worker_9df7e548,1,41.0,Louisiana,High School Graduate,White,Female,2025-09-14 21:52:57
worker_c4d75c55,1,27.0,florida,Bachelor,White,Male,2025-12-13 23:13:22
worker_6497f02e,1,46.0,Minnesota ,Associate,Black or African American,Female,2025-09-09 20:50:38
worker_fbb9b543,0,,,,,,2025-10-22 00:20:13
worker_ffeda98f,0,,,,,,2025-11-30 07:23:38
worker_4f307618,0,,,,,,2025-12-13 22:34:36
worker_81ee0dee,1,36.0,Massachusetts,Doctoral,Asian,Male,2025-04-23 17:29:42
worker_cf636b96,1,41.0,California,High School Graduate,White,Female,2025-04-23 20:42:27
worker_8eb142c1,1,45.0,"Tamilnadu, India",Bachelor,Asian,Male,2025-04-23 11:09:13
worker_19651352,1,55.0,California,Master,White,Male,2025-09-09 15:10:04
worker_a706af7b,0,,,,,,2025-11-28 20:50:49
worker_98671463,1,26.0,Louisiana,Bachelor,White,Female,2025-12-13 18:33:23
worker_b734ff9a,1,29.0,California,Master,White,Male,2025-12-02 14:08:17
worker_15debe40,0,,,,,,2025-12-13 20:39:56
worker_483cbae8,1,26.0,Illinois,Bachelor,White,Male,2026-01-16 20:38:05
worker_7930a5d2,1,60.0,Colorado,Master,Asian,Female,2025-09-14 17:18:19
worker_6ce6a3f8,1,40.0,"Tamilnadu, India",Bachelor,Asian,Male,2025-11-14 12:13:49
worker_a242faff,0,,,,,,2026-01-16 20:44:24
worker_d7f97cde,1,28.0,florida,Bachelor,White,Female,2025-09-15 02:14:49
worker_b3994647,1,39.0,Florida,Bachelor,Black or African American,Male,2025-11-17 12:43:36
worker_e9ef9c66,1,30.0,new york,Bachelor,White,Male,2025-12-02 14:08:40
worker_24003b7b,1,25.0,CA,Bachelor,Asian,Male,2025-12-02 16:03:56
worker_0484ce71,1,29.0,Idaho,Master,White,Male,2025-12-02 16:39:53
worker_67a3d1d5,0,,,,,,2025-04-23 13:34:06
worker_a0b52a98,1,56.0,North america,Master,White,Male,2025-12-13 20:38:51
worker_230d16da,1,35.0,CA,Master,Asian,Male,2025-12-02 15:52:36
worker_576c7456,1,34.0,india,Master,Asian,Male,2025-09-14 17:18:45
worker_10c86b24,0,,,,,,2026-01-16 21:08:58
worker_91a679fb,1,54.0,Oregon,Bachelor,White,Male,2025-11-17 12:12:51
worker_8bbce525,1,34.0,Mabeton,Master,White,Male,2025-12-13 22:07:23
worker_3cfc1ae2,1,49.0,"Pune, MH",Master,Asian,Male,2025-04-23 08:31:32
worker_80cbd3df,1,33.0,TX,Master,Asian,Male,2025-12-02 15:10:51
worker_043874cc,1,40.0,"Teresina - PI, Brazil",Bachelor,White,Male,2025-09-15 07:19:10
worker_1909ee03,0,,,,,,2025-12-13 18:30:25
worker_ccd8436b,0,,,,,,2025-04-23 13:45:38
worker_c77e17ee,0,,,,,,2025-12-13 18:50:41
worker_9d79bcab,1,40.0,"Calgary, Alberta",Bachelor,"Asian,White",Male,2025-04-23 19:06:14
worker_5e49760f,1,64.0,Ohio,Master,White,Female,2025-04-23 19:58:16
worker_02686747,0,,,,,,2025-12-13 18:00:12
worker_f815af5e,1,53.0,virginia,High School Graduate,Black or African American,Female,2025-09-15 09:45:39
worker_7b628d49,0,,,,,,2025-09-09 09:42:25
worker_1e5cc0cb,1,30.0,New York,Bachelor,White,Male,2025-12-02 14:13:30
worker_11abb939,1,35.0,TX,Master,White,Male,2026-01-16 21:28:34
worker_5c1c7664,0,,,,,,2025-11-27 08:25:03
worker_4c44cbe6,1,52.0,IN,Bachelor,White,Female,2025-12-02 16:06:06
worker_26340665,1,50.0,india,Master,White,Male,2025-09-14 17:37:18
worker_cdd07ac1,1,30.0,alaska,Bachelor,White,Male,2025-12-02 14:04:11
worker_5a944891,1,27.0,florida,Bachelor,White,Female,2025-12-13 17:25:09
worker_04abd66f,1,,,,,,2025-12-02 17:27:38
worker_d70e945b,1,28.0,floroda,Master,American Indian or Alaska Native,Female,2025-12-02 14:01:22
worker_5b0f819d,1,26.0,USA,Bachelor,White,Female,2025-12-13 21:12:59
worker_b156420d,1,34.0,us,Master,White,Male,2026-01-16 23:59:13
